student_id,academic_year,grade_level,class,excused_absences,unexcused_absences,behavior_score,conduct_grade,teacher_remarks
S001,2023-2024,10,10A1,4,2,68,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S001,2024-2025,11,11B2,5,0,74,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S001,2025-2026,12,12C1,4,0,68,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S002,2023-2024,10,10A1,0,0,96,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S002,2024-2025,11,11B2,2,0,87,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S002,2025-2026,12,12C1,0,0,86,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S003,2023-2024,10,10A1,0,0,85,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S003,2024-2025,11,11B1,2,0,86,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S003,2025-2026,12,12C1,0,0,94,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S004,2023-2024,10,10A2,1,2,71,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S004,2024-2025,11,11B1,2,1,83,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S004,2025-2026,12,12C1,3,0,68,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S005,2023-2024,10,10A1,1,2,82,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S005,2024-2025,11,11B2,5,0,67,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S005,2025-2026,12,12C1,5,1,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S006,2023-2024,10,10A1,2,9,61,Trung bình,"Nghi hoc nhieu khong phep, thai do hoc tap chua tot, can gia dinh nhac nho gap."
S006,2024-2025,11,11B1,3,3,54,Trung bình,"Vi pham quy che lop nhieu lan, nghi hoc vo toi va, can gia dinh phoi hop."
S006,2025-2026,12,12C1,2,10,50,Trung bình,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S007,2023-2024,10,10A2,2,1,84,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S007,2024-2025,11,11B1,2,0,83,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
