student_id,academic_year,grade_level,class,subject,factor_1,factor_2,factor_3,gpa
S001,2023-2024,10,10A1,Math,8.0;7.7,5.3,6.0,6.33
S001,2023-2024,10,10A1,Literature,5.9;6.3,6.4,6.6,6.4
S001,2023-2024,10,10A1,English,8.4;7.5,6.8,6.5,7.0
S001,2023-2024,10,10A1,Physics,6.1;6.5,7.7,7.5,7.21
S001,2023-2024,10,10A1,Chemistry,6.4;5.8,5.1,7.4,6.37
S001,2023-2024,10,10A1,Biology,7.3;7.0,5.1,8.5,7.14
S001,2023-2024,10,10A1,History,5.5;8.3,7.9,8.2,7.74
S001,2023-2024,10,10A1,Geography,5.8;7.6,6.3,6.2,6.37
S001,2024-2025,11,11B2,Math,7.9;6.4,6.8,5.9,6.51
S001,2024-2025,11,11B2,Literature,5.9;7.1,5.1,7.0,6.31
S001,2024-2025,11,11B2,English,8.3;8.2,8.0,5.1,6.83
S001,2024-2025,11,11B2,Physics,7.1;6.7,6.0,7.1,6.73
S001,2024-2025,11,11B2,Chemistry,7.6;8.4,6.8,5.5,6.59
S001,2024-2025,11,11B2,Biology,8.4;5.6,6.0,5.8,6.2
S001,2024-2025,11,11B2,History,6.9;6.3,7.8,5.6,6.51
S001,2024-2025,11,11B2,Geography,6.6;8.1,6.4,7.1,6.97
S001,2025-2026,12,12C1,Math,6.7;6.4,6.3,7.3,6.8
S001,2025-2026,12,12C1,Literature,6.2;6.2,7.2,7.2,6.91
S001,2025-2026,12,12C1,English,5.6;7.9,5.2,5.5,5.77
S001,2025-2026,12,12C1,Physics,7.5;7.9,6.9,8.5,7.81
S001,2025-2026,12,12C1,Chemistry,6.5;7.1,7.7,6.8,7.06
S001,2025-2026,12,12C1,Biology,7.5;8.2,5.5,8.2,7.33
S001,2025-2026,12,12C1,History,6.2;6.8,6.9,8.3,7.39
S001,2025-2026,12,12C1,Geography,7.8;7.9,5.1,5.9,6.23
S002,2023-2024,10,10A1,Math,9.0;9.5,9.8,9.0,9.3
S002,2023-2024,10,10A1,Literature,8.5;8.4,8.0,9.4,8.73
